code,name,1901-07,1902-07,1903-07,1904-07,1905-07,1906-07,1907-07,1908-07,1909-07,1910-07,1911-07,1912-07,1913-07,1914-07,1915-07,1916-07,1917-07,1918-07,1919-07,1920-07,1921-07,1922-07,1923-07,1924-07,1925-07,1926-07,1927-07,1928-07,1929-07,1930-07,1931-07,1932-07,1933-07,1934-07,1935-07,1936-07,1937-07,1938-07,1939-07,1940-07,1941-07,1942-07,1943-07,1944-07,1945-07,1946-07,1947-07,1948-07,1949-07,1950-07,1951-07,1952-07,1953-07,1954-07,1955-07,1956-07,1957-07,1958-07,1959-07,1960-07,1961-07,1962-07,1963-07,1964-07,1965-07,1966-07,1967-07,1968-07,1969-07,1970-07,1971-07,1972-07,1973-07,1974-07,1975-07,1976-07,1977-07,1978-07,1979-07,1980-07,1981-07,1982-07,1983-07,1984-07,1985-07,1986-07,1987-07,1988-07,1989-07,1990-07,1991-07,1992-07,1993-07,1994-07,1995-07,1996-07,1997-07,1998-07,1999-07,2000-07,2001-07,2002-07,2003-07,2004-07,2005-07,2006-07,2007-07,2008-07,2009-07,2010-07,2011-07,2012-07,2013-07,2014-07,2015-07,2016-07,2017-07,2018-07,2019-07,2020-07,2021-07,2022-07,2023-07
ABW,Aruba (Neth.),420.9,420.9,420.9,420.9,420.9,420.9,420.9,420.9,420.9,420.9,569.7,487,413.3,393.8,379.9,442.3,447.6,434.3,253.3,324.1,363.1,503.1,367.7,573.9,275.8,446.4,624.1,486.3,342.8,305.5,498.5,475.7,535.3,439.2,483.3,455.9,558.6,544.8,430.1,288.4,215.3,615.4,455.9,493.7,314.1,391,277.2,335.6,488.7,626.5,370.7,395.9,358.5,423.4,519.8,615.6,355.3,227.4,284.3,384.2,419,319.3,456.8,354.9,376.6,646.9,388.5,338.1,599.6,580.4,372.5,395.3,430.7,393.9,529.5,317.9,244.1,301.1,509.7,344.4,530.9,356.2,265.2,429.5,638.5,341.5,353,653.1,385.1,460.4,317.5,387,294.7,383.3,399.9,533.8,262.2,446.3,717.2,489.1,350.4,282,391.3,658.8,652.1,503.5,415.9,625.5,334.5,698.3,670.2,356.8,340.4,283.1,294.3,444.5,375.6,467.2,218.3,394.2,420.9,420.9,420.9
AFG,Afghanistan,295.12,289.55,332.98,317.55,294.36,313.38,322.88,331.5,308.95,315.43,318.11,319.5,309.12,349.39,290.14,302.26,226.87,314.95,323.7,320.81,313.94,321.49,342.52,375.09,268.75,325.49,279.87,289.2,294.37,308.53,378.57,307.03,342.91,341.66,331.65,302.75,327.1,327.8,352.86,302.02,329.71,361.8,354.93,313.94,352.31,262.22,279.77,306.98,305.26,296.63,324.45,327.45,372.19,345.98,298.06,355.88,432.24,334.3,373.28,364.36,340.99,276.56,353.32,342.87,367.35,302.47,378.8,358.46,369.82,247.89,205.94,419.39,281.91,316.37,327.46,371.65,298.51,303.65,348.63,361.28,373.91,435.41,315.21,277.62,253.33,329.15,318.85,335.72,327.15,359.19,430.04,403.47,337.87,335.96,311.49,328.82,341.78,368.79,317.2,247.82,246.47,313.37,342.27,313.17,369,344.54,319.82,291.01,379.6,304.68,321.56,362.65,357.31,306.36,391,360.97,299.95,275.08,389.01,387.33,229.67,305.34,297.9
AGO,Angola,1021.01,1037.61,1060.21,980.49,978.48,1066.87,1019.88,1021.85,1156.9,1048.53,977.82,1139.73,986.55,896.62,934.15,1100.82,982.64,1010.65,1015.78,1026.46,1063.36,994.53,1207.76,1090.32,1069.24,1085.43,1015.9,955.08,1007.85,889.91,1037.7,921.14,1074.51,1148.76,1055.7,1018.16,1143.06,1043.43,1014.67,999.68,924.52,981.66,982.63,1180.45,1104.97,967.91,1106.04,985.79,990.68,1175.71,1215.39,1052.59,1002.5,1121.68,1086.98,1038.58,1167.48,909.01,1088.12,1174.98,1230.63,1127.84,1123.31,949.91,992.51,1129.57,1190.16,1123.47,1218.21,974.05,1003.12,993.01,1072.51,1097.35,1045.98,1111.66,1107.88,1051.64,1108.92,944.35,886.93,971.57,952.55,965.39,988.94,1132.65,995.6,1087.8,975.12,1035.65,1071.02,932.45,1042.53,985.97,960.41,993.03,1072.16,1036.73,1057.47,1057.17,1045.39,1068.92,1037.73,1072.91,1021.34,1091.77,1055.99,1070.64,1077.13,1051.08,1057.01,1072.01,1036.46,1056.25,1005.24,1031.24,1066.84,1056.37,1063.34,1069.64,1057.38,1057.57,1053.91
AIA,Anguilla (U.K.),1228,1096.7,1028.9,1072,1097.2,1017.9,970.5,1034.1,1121.1,1114.8,1102.7,944.5,1003.9,1026.4,1066.4,1132.3,947.4,956.5,1044.4,976.4,1014.8,1010.6,891,1054.1,912,957.7,1095.6,1207.5,962.4,923.1,1327.6,1178.7,1148.4,1012.1,994.4,1181.7,895.2,1092.4,962.7,1055.2,1014.7,1139.6,1050.5,1072.7,898.7,940.4,888.5,1083.3,1090.6,1103.5,991.7,1221.1,977.8,1125.5,1035.3,1086.7,848.2,1219.2,938.2,1273.5,1040.2,1023.3,979.9,781.1,1083.5,946.8,682.8,838,1258.3,1209.2,951.1,824.1,806.4,975.5,1059,809.7,1014.2,878.4,1532,761.8,1164.8,954.6,991,1119.1,975.9,1035,1272,1090.3,1102,963.3,825.9,1181.5,846.5,762,905.9,953.1,897.9,1313,1131.5,741.8,1041.9,998.1,1169.7,1224.3,1321.2,1377.2,1035.2,1304.1,958,1306.3,1166.6,848.8,1173.4,1164.5,630,1089.3,1154.5,949.7,1002.7,1041.2,891.5,964.6,1055.7
ALA,ALA,364.3,472.12,576.15,482.16,515.04,451.64,492.83,450,489.9,585.98,473.58,607.32,465.05,360.78,525.69,585.57,423.04,532.17,500.27,441.92,454.01,505.85,564.68,516.05,467.91,457.96,615.44,534.01,523.66,575.43,498.22,512.74,410.43,597.47,615.64,583.36,571.72,518.11,471.81,465.06,439.61,442.52,537.21,648.86,572.4,519.24,359.17,495.89,548.98,541.99,445.44,550.72,436.69,593.14,432.62,466.89,567.03,549.81,427.23,702.67,548.9,538.37,467.68,394,523.02,540.39,614.86,520.35,451.62,467.1,426.71,436.35,458.47,647.15,398.71,416.92,576.92,460.89,534.07,612.6,609.28,443.27,535.14,601.73,521.45,589.48,491.81,554.65,425.93,598.38,488.76,531.75,490.4,523.74,528.37,447.63,519.75,562.54,532.15,615.54,515.86,434.05,469.05,488.2,506.02,511.02,525.23,602.88,515.45,520.35,468.24,646.85,435.55,495.07,523.34,476.22,550.94,404.8,565.82,558.11,512.33,486.7,610.68
ALB,Albania,1273.36,1190.41,1089.64,1129.17,1105.44,1231.38,1125.82,1046.73,1264.68,1268.24,1056.78,1147.09,1068.81,1230.59,1502.33,1213.4,1075.47,1121.46,1333.42,1099.6,1016.86,1150.44,1324.21,1140.71,1100.28,1094.97,1189.27,1212.04,1117.04,1237.21,1247.2,987.02,1217.19,1138.8,1216.39,1261.21,1478.75,1098.06,1388.79,1328.44,1138.63,1179.38,1112.41,1255.25,1064.3,1047.65,1064.04,925.95,1203.88,1187.83,1263.53,1199.53,993.28,1319.8,1265.49,1264.55,1067.89,1186.08,1320.01,1346.26,978.33,1363.99,1375.84,1140.4,1077.68,1445.88,1007.74,1219.54,1313.37,1211.62,1152.63,1163.31,1150.01,1218.18,863.48,1305.22,895.01,1247.45,1506.82,1301.92,1216.98,1023.1,953.71,1053.87,1079.24,1090,1135.82,965.78,830.41,921.14,1030.45,873.68,940.08,1033.24,1219.96,1310.98,923.39,1064.6,1193.17,808.8,934.52,1192.63,1068.01,1165.07,1231.25,1124.18,1155.76,1105.41,1421.19,1438.47,876.6,1109.05,1148.84,1427.53,1130.5,1200.73,1089.43,1022.04,1292.29,1074.47,1214.74,995.29,1178.65
AND,Andorra,1145.88,1101.62,1013.81,825.1,993.76,986.3,1124.88,1037.31,833.89,1033.69,996.24,830.89,1114.29,1064.33,1231.94,951.57,1203.2,996.8,1087.77,1219.78,911.96,1001.53,926.56,813.6,838.27,1133.48,1059.66,870.18,835.51,1333.43,923.98,1571.12,1214.51,998.39,1090.77,1437.52,981.12,1221.88,1389.05,1151.03,1232.31,971,1230.88,937.79,827.33,1031.47,983.07,939.83,869.96,852.86,1399.87,1110.42,918.39,825.68,1206.99,1039.14,971.78,958.77,1449.86,1521.64,971.21,1265.01,1367.46,1265.61,1193.18,1144.65,1031.75,1129.86,1249.4,998.93,1296.39,1387.94,979.48,1130,1055.28,1050.9,1270.31,910.12,1350.7,887.23,1096.72,1372.84,920.65,1062.57,740.66,757.99,1168.68,965.69,954.09,1013.2,907.91,1380.99,889.34,1056.87,1042.92,1550.84,1274.82,792.58,1104.75,947.07,908.58,1175.07,1250.39,852.38,770.1,802.86,691.64,1188.12,1081.39,1136.57,905.48,839.71,1164.35,1214.01,885.38,901.78,909.08,1478.62,1013.04,1182.64,851.55,852.4,734.21
ARE,United Arab Emirates,66.58,55.25,56.17,57.26,83.28,80.44,73,56.22,69.18,63.68,66.45,80.17,82.24,66.83,60.2,82.27,65.26,63.81,65.77,56.95,59.85,54.39,69.69,57.18,55.66,63.73,61.21,69.25,61.15,54.78,69.45,68.88,66.83,68.42,68.17,66.61,67.25,55.64,72.9,64.92,60.44,60.22,72.33,66.66,54.42,61.01,61.62,76.45,68.21,56.69,74.78,58.66,59.38,58.29,90.6,56.58,84.39,59.16,66.3,63.22,61.28,38.95,57.15,79.27,64.78,53.66,40.01,76.87,62.41,34.08,40.1,101.64,35,62.85,63.78,148.28,74.55,54.05,76.58,63.48,55.23,132.6,76.1,47.97,31.96,60.29,86.81,71.74,70.4,57.45,63.88,76.61,87.82,41.03,70.2,84.03,98.52,60.71,57.61,51.49,29.93,42.7,45.33,46.04,53.6,63.89,48.78,37.45,83,38.91,43.48,41.89,57.16,79.62,56,62.16,66.5,55.75,68.98,70.14,51.41,59.73,54.62
ARG,Argentina,472.31,528.74,566.52,586.18,562.08,465.13,515.17,506.41,445.92,480.14,564.38,555.12,541.29,682.17,557.26,424.14,461.47,631.22,684.83,580.44,578.2,592.9,568.17,432.45,578.32,592.35,506.08,564.28,463.13,591.98,583.95,594.78,527.18,552.31,480.1,502.64,412.04,516.1,642.31,673.99,570.75,504.44,534.1,531.18,545.21,643.76,512.06,524.45,537.18,529.9,531,509.59,592.33,550.62,537.68,609.36,589.7,604.25,655.92,531.61,617.56,447.82,657.06,525.28,580.89,630.61,551.1,542.29,549.06,538.68,551.67,626.46,650.07,558.24,592.7,634.84,677.07,647.82,623.91,626.98,638.2,650.52,620.37,730.3,655.45,680.72,649.4,496.34,522.13,667.23,665.95,733.45,617.62,605.2,510.68,629.64,657.59,623.42,636.51,712.18,712.71,754.65,596.41,580.69,581.67,599.67,586.28,532.93,538.17,557.31,566.47,629.08,521.2,702.52,649.16,660.39,638.97,597.38,587.02,501.22,540.3,482.23,564.15
ARM,Armenia,606.96,504.27,516.56,672.72,572.5,566.93,494.23,545.98,554.36,497.43,498.37,549.08,435.93,616.98,655.62,503.16,425.79,528.4,611.8,756.89,536.7,652.11,545.62,457.18,401.71,545.22,550.43,557.62,539.42,518.79,681.07,523.61,513.23,466.02,524.36,763.78,604.49,513.21,628.28,608.57,474.58,626.39,528.14,539.47,485.71,666.48,638.47,539.74,462.51,506.33,632.58,412.18,566.22,540.28,623.18,597.35,515.88,521.78,630.94,523,334.28,453.91,838.76,425.69,555.25,575.77,641.61,549.62,577.16,377.65,459.94,655.49,485.59,579.05,563.62,584.64,522.37,571.71,508.04,406.51,593.03,630.56,586.15,479.35,444.01,596.1,546.72,781.75,417.71,449.67,511.93,595.15,552.6,594.19,472.19,465.89,526.69,467.34,478.65,408.8,464.93,637.67,678.27,597.64,592.72,535.64,694.35,468.11,654.76,650.94,668.11,516.15,519.4,510.15,591.96,675.99,436.54,588.98,417.55,575.22,438.23,443.86,568.83
